"State","Store_name","Shopping_center","Street_add","City","Postcode","Hrs_of_bus","Display_wd","URL","Ycoord","Xcoord","uuid"
"MA","Dunkin Donuts","","1420 Boylston St","Boston","02215","7:00 Am - 11:00 PM, 7 Days","1.5","","42.343687","-71.101447","1"
"MA","Dunkin Donuts","","283 Huntington Ave ","Boston","02215","7:00 Am - 11:00 PM, 7 Days","1.5","","42.341592","-71.086455","2"
"MA","Dunkin Donuts","","1631 Tremont St","Boston","02215","7:00 Am - 11:00 PM, 7 Days","1.5","","42.335723","-71.087109","3"
"MA","Dunkin Donuts","","333 Newbury St","Boston","02215","7:00 Am - 11:00 PM, 7 Days","1.5","","42.348605","-71.086519","4"
"MA","Dunkin Donuts","","350 Longwood Ave","Boston","02215","7:00 Am - 11:00 PM, 7 Days","1.5","","42.337135","-71.103393","5"
